,Name,Cuisine Style,Rating,Price Range,Reviews,URL_TA
0,Bar 61 Restaurant,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.827223856479337,2.0,"'A Gem of a Tapas Bar!', 'Very good', '', ''",/Restaurant_Review-g186338-d1316206-Reviews-Bar_61_Restaurant-London_England.html
1,The Five Fields,"['European', 'British', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.756440991955876,3.0,"'Special Dining Experience', 'Top restaurant', '', ''",/Restaurant_Review-g186338-d3853609-Reviews-The_Five_Fields-London_England.html
2,The Golden Chippy,"['Seafood', 'Fast Food', 'British']",4.7359193903911825,1.0,"'Best in London! Best food, best guys!', 'The Golden Chippy at Greenwich', '', ''",/Restaurant_Review-g186338-d5244301-Reviews-The_Golden_Chippy-London_England.html
3,Liman Restaurant,"['Mediterranean', 'European', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.721511251129595,2.0,"'A good experience', 'Excellent Establishment - Kunefe was Quite...', '', ''",/Restaurant_Review-g186338-d10444968-Reviews-Liman_Restaurant-London_England.html
4,The Clink Restaurant,"['European', 'British', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.614145718357743,2.0,"'Weird but such a good experience!', 'Fantastic food and such a great project', '', ''",/Restaurant_Review-g186338-d6635485-Reviews-The_Clink_Restaurant-London_England.html
5,Gastronhome,"['French', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options']",4.607361467251945,3.0,"'Not expected there', 'Excellent dinnee', '', ''",/Restaurant_Review-g186338-d5561842-Reviews-Gastronhome-London_England.html
6,Rock Star Sushi Bar,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.601671053733857,2.0,"'Best sushi by far', 'Still trying to find a better place in the...', '', ''",/Restaurant_Review-g186338-d6575472-Reviews-Rock_Star_Sushi_Bar-London_England.html
7,taNgia,"['Moroccan', 'Mediterranean', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Halal']",4.592587155301334,2.0,"'Delicious! Christmas meal ', 'Delicious! Highly recommend!', '', ''",/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html
8,Taste Of Nawab,"['Asian', 'Bangladeshi', 'Indian', 'Balti', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.583565192539941,2.0,"'Amazing takeaway', 'Amazing Restaurant!', '', ''",/Restaurant_Review-g186338-d813149-Reviews-Taste_Of_Nawab-London_England.html
9,Zeret Kitchen,"['African', 'Ethiopian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.55997405812718,2.0,"'Excellent Service, Delicious and Authentic...', 'Eat with your hands and try new flavours!', '', ''",/Restaurant_Review-g186338-d1748899-Reviews-Zeret_Kitchen-London_England.html
10,Holy Smoke,"['International', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",4.53657449442188,2.0,"'Always consistently good food and service', 'Excellent food and drink with personal ser...', '', ''",/Restaurant_Review-g186338-d7697088-Reviews-Holy_Smoke-London_England.html
11,Bonoo,"['Wine Bar', 'Indian', 'Contemporary', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.534764238540716,2.0,"'Superb!', 'Date night with partner', '', ''",/Restaurant_Review-g186338-d10460592-Reviews-Bonoo-London_England.html
12,Pizza Union Aldgate,"['Italian', 'Pizza', 'Fast Food', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.494623670720325,1.0,"'Fast and tasty', 'Great pizza', '', ''",/Restaurant_Review-g186338-d12379859-Reviews-Pizza_Union_Aldgate-London_England.html
13,"Oxo Tower Restaurant, Bar and Brasserie","['British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.476844433743147,3.0,"'British Cuisine at its best!', 'Beautiful views and excellent customer ser...', '', ''",/Restaurant_Review-g186338-d680501-Reviews-Oxo_Tower_Restaurant_Bar_and_Brasserie-London_England.html
14,The Ivy,"['British', 'French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.464796959281972,3.0,"'Lovely chilled lunch', 'Birthday Lunch', '', ''",/Restaurant_Review-g186338-d776287-Reviews-The_Ivy-London_England.html
15,Dishoom Covent Garden,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.461944004688616,2.0,"'A great place for breakfast.', 'First class Indian brunch *', '', ''",/Restaurant_Review-g186338-d1863498-Reviews-Dishoom_Covent_Garden-London_England.html
16,Dinner by Heston Blumenthal,"['British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.461843755866113,3.0,"'You are going to love it here and will wan...', 'Amazing Dinner- decor needs updating', '', ''",/Restaurant_Review-g186338-d2000067-Reviews-Dinner_by_Heston_Blumenthal-London_England.html
17,Rules Restaurant,"['European', 'British']",4.452747537063807,3.0,"'Extremely professional, yet casual service...', 'Best Steak & Kidney Pudding Ever', '', ''",/Restaurant_Review-g186338-d700845-Reviews-Rules_Restaurant-London_England.html
18,Trattoria Raffaele,"['Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.4519922319007215,2.0,"'Peg', 'Bellissimo', '', ''",/Restaurant_Review-g186338-d1519855-Reviews-Trattoria_Raffaele-London_England.html
19,Petrus,"['French', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.451393633247101,3.0,"'Christmas Day - a fabulous present!!!', 'Is it as good as Marcus?', '', ''",/Restaurant_Review-g186338-d1744881-Reviews-Petrus-London_England.html
20,Hawksmoor Seven Dials,"['Steakhouse', 'European', 'British', 'Gluten Free Options']",4.4503556380699365,3.0,"'Great steak', 'Exceptional Service', '', ''",/Restaurant_Review-g186338-d1991481-Reviews-Hawksmoor_Seven_Dials-London_England.html
21,Hakkasan Hanway Place Restaurant,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.449719341842262,3.0,"'Well worth a visit', 'Dim Sum Sunday', '', ''",/Restaurant_Review-g186338-d699656-Reviews-Hakkasan_Hanway_Place_Restaurant-London_England.html
22,Yauatcha,"['Chinese', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.449231311728031,3.0,"'Quite Wonderful', 'Most Delicious Food', '', ''",/Restaurant_Review-g186338-d733966-Reviews-Yauatcha-London_England.html
23,Clos Maggiore,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.4480835222495925,3.0,"'A Gem', 'Birthday meal', '', ''",/Restaurant_Review-g186338-d1015650-Reviews-Clos_Maggiore-London_England.html
24,Made in South Pizzeria,"['Mediterranean', 'Italian', 'Pizza', 'Vegetarian Friendly', 'Vegan Options']",4.446902376469458,2.0,"'the best pizza this side of Naples', 'Proper pizza', '', ''",/Restaurant_Review-g186338-d7741223-Reviews-Made_in_South_Pizzeria-London_England.html
25,Le Gavroche,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.44618431986261,3.0,"'Birthday celebrations', 'The best of the best', '', ''",/Restaurant_Review-g186338-d719688-Reviews-Le_Gavroche-London_England.html
26,Afternoon Tea,"['European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.444486714386577,3.0,"'Make Your Reservation Early and Wear Your...', 'Excellent Afternoon', '', ''",/Restaurant_Review-g186338-d1070374-Reviews-Afternoon_Tea-London_England.html
