,Name,Cuisine Style,Rating,Price Range,Reviews,URL_TA
27,Burger & Lobster - Soho,"['American', 'Seafood', 'Gluten Free Options']",4.444157454092311,2.0,"'Perfect stop for pre-theatre dinner', 'Lobsters will be lobsters, but this is the...', '', ''",/Restaurant_Review-g186338-d3468435-Reviews-Burger_Lobster_Soho-London_England.html
28,Galvin at Windows Restaurant,"['French', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.442921774840639,3.0,"'Beautiful views and cocktails', 'Wonderful night', '', ''",/Restaurant_Review-g186338-d730159-Reviews-Galvin_at_Windows_Restaurant-London_England.html
29,Dishoom Shoreditch,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.441539563861928,2.0,"'Delicious modern Indian!!', 'Fantastic food, not your typical Indian fo...', '', ''",/Restaurant_Review-g186338-d3602060-Reviews-Dishoom_Shoreditch-London_England.html
30,Restaurant Gordon Ramsay,"['French', 'European', 'British', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.439238120425708,3.0,"'Visit with friends', 'Amazing fine dinning experience.', '', ''",/Restaurant_Review-g186338-d719242-Reviews-Restaurant_Gordon_Ramsay-London_England.html
31,Cantina Laredo,"['Mexican', 'Latin', 'South American', 'Central American', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.436598968080562,2.0,"'Cool place in the centre of Theatre Land', 'Awesome birthday experience', '', ''",/Restaurant_Review-g186338-d1826610-Reviews-Cantina_Laredo-London_England.html
32,The Delaunay,"['German', 'Austrian', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options']",4.435158035536939,2.0,"'Lured in by desserts in the window', 'Lovely Meal', '', ''",/Restaurant_Review-g186338-d2434265-Reviews-The_Delaunay-London_England.html
33,J Sheekey,"['Seafood', 'European', 'British', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.435135699345253,3.0,"'Brilliant new years eve meal', 'New Years Eve treat', '', ''",/Restaurant_Review-g186338-d719379-Reviews-J_Sheekey-London_England.html
34,The Ledbury,"['French', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.434458383292471,3.0,"'Decades New, A Sublime Evening to Cherish', 'Flawless', '', ''",/Restaurant_Review-g186338-d720761-Reviews-The_Ledbury-London_England.html
35,San Carlo Cicchetti,"['Italian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.434412725600581,2.0,"'Fabulous Family Lunch', 'Best Gnocchi in the World!', '', ''",/Restaurant_Review-g186338-d3459539-Reviews-San_Carlo_Cicchetti-London_England.html
36,Chettinad Restaurant,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.433696808168757,2.0,"'Beautiful food, amazing service!', 'Great Indian', '', ''",/Restaurant_Review-g186338-d737343-Reviews-Chettinad_Restaurant-London_England.html
37,Hawksmoor Air Street,"['Steakhouse', 'British', 'Gluten Free Options']",4.432988944910772,3.0,"'Express lunch', 'Really great restaurant', '', ''",/Restaurant_Review-g186338-d3598839-Reviews-Hawksmoor_Air_Street-London_England.html
38,Cote Brasserie - Covent Garden,"['French', 'European', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.430822533137131,2.0,"'Efficient service and very friendly staff', 'Brilliant as alwasy', '', ''",/Restaurant_Review-g186338-d1388950-Reviews-Cote_Brasserie_Covent_Garden-London_England.html
39,Benares Restaurant & Bar,"['Indian', 'Contemporary', 'Street Food', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.4301035394206645,3.0,"'Indian flavours with unique flair', 'Food outstanding', '', ''",/Restaurant_Review-g186338-d731399-Reviews-Benares_Restaurant_Bar-London_England.html
40,Steak & Co.,"['Steakhouse', 'European', 'British', 'Gluten Free Options']",4.429422389504974,2.0,"'Tasty food at reasonable prices locally', 'Super nice staff and good food!', '', ''",/Restaurant_Review-g186338-d1986500-Reviews-Steak_Co-London_England.html
41,Pollen Street Social,"['European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.428700846345805,3.0,"'Great buzzy place!!', 'Lovely meal, very rich!', '', ''",/Restaurant_Review-g186338-d2095838-Reviews-Pollen_Street_Social-London_England.html
42,Zuma,"['Japanese', 'Sushi', 'Asian', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.427991944626871,3.0,"'Wonderful food and service', 'One of the best Japanese Restaurants', '', ''",/Restaurant_Review-g186338-d732975-Reviews-Zuma-London_England.html
43,Dishoom King's Cross,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.427604358015866,2.0,"'Best food ever!', 'Sophisticated Indian Cafe', '', ''",/Restaurant_Review-g186338-d7212464-Reviews-Dishoom_King_s_Cross-London_England.html
44,Casa Tua Camden,"['Wine Bar', 'Italian', 'Cafe', 'Mediterranean', 'Vegan Options', 'Vegetarian Friendly']",4.426483042053403,2.0,"'Small and cosy with lovely food and good a...', 'Nice atmosphere', '', ''",/Restaurant_Review-g186338-d6440616-Reviews-Casa_Tua_Camden-London_England.html
45,NOPI,"['Mediterranean', 'European', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.424041522871832,3.0,"'Adore this place', 'Delicious, but would have been better with...', '', ''",/Restaurant_Review-g186338-d2039000-Reviews-NOPI-London_England.html
46,Poppies Fish and Chips Camden,"['Seafood', 'British']",4.423672045074694,2.0,"'We love Poppies', Planned Visit to a Fab 'Chippie', '', ''",/Restaurant_Review-g186338-d4090927-Reviews-Poppies_Fish_and_Chips_Camden-London_England.html
47,Flat Iron Beak Street,"['Steakhouse', 'British', 'Gluten Free Options']",4.423330185341722,2.0,"'Wonderful evening here', 'Perfect, but where is the olive oil?', '', ''",/Restaurant_Review-g186338-d3741202-Reviews-Flat_Iron_Beak_Street-London_England.html
48,Galvin La Chapelle,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.420815363834849,3.0,"'Almost perfect', 'Fantastic', '', ''",/Restaurant_Review-g186338-d1645957-Reviews-Galvin_La_Chapelle-London_England.html
49,Goodman,"['American', 'Steakhouse', 'European', 'British', 'Gluten Free Options']",4.4189056568472305,3.0,"'Nice environment, good service', 'Crowd pleaser. Nice steak cuts.', '', ''",/Restaurant_Review-g186338-d1382002-Reviews-Goodman-London_England.html
50,Poppies Fish & Chips,"['British', 'Seafood', 'Fast Food', 'Vegetarian Friendly']",4.4185901146559745,2.0,"'Fantastic fish and chips, well recommended...', 'Best fish and chips in London - Nothing mo...', '', ''",/Restaurant_Review-g186338-d3507831-Reviews-Poppies_Fish_Chips-London_England.html
51,Wahaca Covent Garden,"['Mexican', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.417772460785707,2.0,"'Mixed thoughts from the group but I loved...', 'First visit but not the last!', '', ''",/Restaurant_Review-g186338-d2411234-Reviews-Wahaca_Covent_Garden-London_England.html
52,Scott's,"['Seafood', 'European', 'British', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",4.417047989074568,3.0,"'Delicious meal, friendly service, good val...', 'A lovely meal in safe hands', '', ''",/Restaurant_Review-g186338-d796521-Reviews-Scott_s-London_England.html
53,L'Atelier de Joel Robuchon,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.416717795311486,3.0,"'World Class food, at a price to match', 'Great lunchtime offer', '', ''",/Restaurant_Review-g186338-d732922-Reviews-L_Atelier_de_Joel_Robuchon-London_England.html
54,Marcus,"['French', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.415974536010384,3.0,"'Very good Business dinner', 'Simply perfect', '', ''",/Restaurant_Review-g186338-d720298-Reviews-Marcus-London_England.html
55,Kibele Restaurant & Bar,"['Mediterranean', 'European', 'Turkish', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options', 'Halal']",4.41521920654545,2.0,"'Birthday treat', 'After show meal', '', ''",/Restaurant_Review-g186338-d12290895-Reviews-Kibele_Restaurant_Bar-London_England.html
56,Palm Court Brasserie,"['French', 'European', 'British', 'Soups', 'Central European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.4150265953065295,2.0,"'Food and service impeccable', 'Wonderful th Anniversary Lunch!', '', ''",/Restaurant_Review-g186338-d1017654-Reviews-Palm_Court_Brasserie-London_England.html
57,The Ritz Hotel Restaurant,"['French', 'European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.414291731997847,3.0,"'Old World Glamour', 'A Fantastic Place For Our New Years Day An...', '', ''",/Restaurant_Review-g186338-d3638068-Reviews-The_Ritz_Hotel_Restaurant-London_England.html
58,ROKA Charlotte Street,"['Japanese', 'Sushi', 'Asian', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.414017778629804,3.0,"'A Must on your next visit to London', 'Great restaurant!', '', ''",/Restaurant_Review-g186338-d720452-Reviews-ROKA_Charlotte_Street-London_England.html
59,Mildreds,"['British', 'International', 'Vegan Options', 'Vegetarian Friendly', 'Gluten Free Options']",4.413939184277545,2.0,"'Mildred’s Soho', 'Top Class Veggie Experience', '', ''",/Restaurant_Review-g186338-d720047-Reviews-Mildreds-London_England.html
60,Roux at The Landau,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.412944491539191,3.0,"'Birthday surprise that did not disappoint...', 'Delicious Sunday brunch', '', ''",/Restaurant_Review-g186338-d1064961-Reviews-Roux_at_The_Landau-London_England.html
61,Honest Burgers - Soho,"['Fast Food', 'British', 'Vegetarian Friendly', 'Gluten Free Options']",4.410926648627847,2.0,"'Best Burger and Chips in London', 'Simple restaurant - nice burgers', '', ''",/Restaurant_Review-g186338-d3438280-Reviews-Honest_Burgers_Soho-London_England.html
62,Burger & Lobster - Mayfair,"['American', 'Seafood', 'British', 'Gluten Free Options']",4.408857180638563,2.0,"'Birthday dinner - YUM', 'Lobsterssss', '', ''",/Restaurant_Review-g186338-d2441656-Reviews-Burger_Lobster_Mayfair-London_England.html
63,Gordon's Wine Bar,"['Bar', 'British', 'Wine Bar', 'Vegetarian Friendly']",4.40751421178746,2.0,"'cheese n wine..', 'Atmospheric wine bar in ancient vaults', '', ''",/Restaurant_Review-g186338-d953554-Reviews-Gordon_s_Wine_Bar-London_England.html
64,Laughing Gravy Bar & Restaurant,"['European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.405990481876819,2.0,"'Fabulous Place !', 'Amazing New Year Meal', '', ''",/Restaurant_Review-g186338-d719674-Reviews-Laughing_Gravy_Bar_Restaurant-London_England.html
65,Indian Lounge,"['Indian', 'Asian', 'Balti', 'Bangladeshi', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.404994417355837,2.0,"'Miss, Mr, & Mrs', 'Excellent', '', ''",/Restaurant_Review-g186338-d3206568-Reviews-Indian_Lounge-London_England.html
66,Boulevard Brasserie,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.404415703146838,2.0,"'Great food, good value.', 'Lovely restaurant', '', ''",/Restaurant_Review-g186338-d737177-Reviews-Boulevard_Brasserie-London_England.html
67,Sticks'N'Sushi Covent Garden,"['Japanese', 'Sushi', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.404123694093315,2.0,"'Brilliant Birthday Sushi', 'Pricey', '', ''",/Restaurant_Review-g186338-d5532356-Reviews-Sticks_N_Sushi_Covent_Garden-London_England.html
68,Barrafina,"['Seafood', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.402887537493177,2.0,"'What a wait !!!!! But worth it', 'best atmosphere & tapas in london.', '', ''",/Restaurant_Review-g186338-d734329-Reviews-Barrafina-London_England.html
69,Bob Bob Ricard,"['European', 'British', 'Russian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.402636471147503,3.0,"'Early NYE meal', 'Perfectly decadent', '', ''",/Restaurant_Review-g186338-d1212924-Reviews-Bob_Bob_Ricard-London_England.html
70,Baileys Fish and Chips,"['Seafood', 'Fast Food', 'British', 'Vegetarian Friendly', 'Gluten Free Options']",4.400317064689926,1.0,"'Such a lovely experience', 'Great food and service', '', ''",/Restaurant_Review-g186338-d2719908-Reviews-Baileys_Fish_and_Chips-London_England.html
71,Iran Restaurant,"['Middle Eastern', 'Persian', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",4.400264266525037,2.0,"'Delicious', 'A fantastic find', '', ''",/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html
72,Tibits,"['International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.399358062639909,2.0,"'Delicious grub!', 'Vegetarian Bouffet In Central London', '', ''",/Restaurant_Review-g186338-d1016181-Reviews-Tibits-London_England.html
73,Kaspar's at The Savoy,"['Seafood', 'European', 'British', 'Soups', 'Grill', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.3985446849134,3.0,"'A thoroughly convivial experience', 'Well executed continental staple', '', ''",/Restaurant_Review-g186338-d4097272-Reviews-Kaspar_s_at_The_Savoy-London_England.html
74,Tozi Restaurant & Bar,"['Italian', 'Mediterranean', 'European', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.398380429141538,2.0,"'great good', 'Lovely restaurant', '', ''",/Restaurant_Review-g186338-d4085143-Reviews-Tozi_Restaurant_Bar-London_England.html
75,Quilon,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.398160592319778,3.0,"Best Indian food I've ever had outside Ind..., 'Wonderful seafood', '', ''",/Restaurant_Review-g186338-d720370-Reviews-Quilon-London_England.html
76,The Oystermen Seafood Bar & Kitchen,"['Seafood', 'British', 'Gluten Free Options']",4.39746869342204,2.0,"'Fantasic!!', 'Superb Food, Warm and Welcoming Hospitalit...', '', ''",/Restaurant_Review-g186338-d12518072-Reviews-The_Oystermen_Seafood_Bar_Kitchen-London_England.html
77,Murano,"['Italian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.395966262541034,3.0,"'Friendly and very attentive service and in...', 'Fun - and extremely fine - dining', '', ''",/Restaurant_Review-g186338-d1137197-Reviews-Murano-London_England.html
78,Proud Cabaret Camden,"['British', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.394331613467603,2.0,"'Such a great night!!', 'Burlesque at Proud Cabaret Camden', '', ''",/Restaurant_Review-g186338-d1993510-Reviews-Proud_Cabaret_Camden-London_England.html
79,Hawksmoor Spitalfields,"['Steakhouse', 'European', 'British']",4.393010758635949,3.0,"'Superb ...Yet again !!', 'Amazing lunchtime burger', '', ''",/Restaurant_Review-g186338-d719305-Reviews-Hawksmoor_Spitalfields-London_England.html
80,Dishoom Carnaby,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.39288904163781,2.0,"'SUPERB. The staff made the difference.', 'Spicy and very good Indian food', '', ''",/Restaurant_Review-g186338-d8659975-Reviews-Dishoom_Carnaby-London_England.html
81,Proud Cabaret City,"['British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.39288904163781,2.0,"'Awesome night out', 'Evening out!', '', ''",/Restaurant_Review-g186338-d1764323-Reviews-Proud_Cabaret_City-London_England.html
82,Mash Steak House,"['American', 'Steakhouse', 'European', 'British']",4.392522223287254,3.0,"'Birthday meal for my wife', 'Good, but could be better', '', ''",/Restaurant_Review-g186338-d3619053-Reviews-Mash_Steak_House-London_England.html
83,Heliot Steak House,"['American', 'Steakhouse', 'European', 'British', 'International', 'Gluten Free Options']",4.3923993915424395,2.0,"'Cannot Beat the £ Deal !', 'Never fails to amaze each visit', '', ''",/Restaurant_Review-g186338-d3486137-Reviews-Heliot_Steak_House-London_England.html
84,Steak & Co.,"['Steakhouse', 'British', 'Gluten Free Options']",4.391967260584779,2.0,"'Great Steak House', 'Great Restaurant', '', ''",/Restaurant_Review-g186338-d3393276-Reviews-Steak_Co-London_England.html
85,Banana Tree - Soho,"['Chinese', 'Vietnamese', 'Malaysian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.391594090500443,2.0,"'Good for a quick snack', 'Reminded me of a school canteen', '', ''",/Restaurant_Review-g186338-d2371412-Reviews-Banana_Tree_Soho-London_England.html
86,Fera at Claridge's,"['European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.39115545387241,3.0,"You won't find any of Maurice Sendak's Wil..., 'Excellent meal, brilliant service', '', ''",/Restaurant_Review-g186338-d6677210-Reviews-Fera_at_Claridge_s-London_England.html
87,Alain Ducasse at The Dorchester,"['French', 'European', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.391029476388466,3.0,"'A spot on fine dining experience', 'Alain Ducasse in the Dorchester Market? o...', '', ''",/Restaurant_Review-g186338-d1205756-Reviews-Alain_Ducasse_at_The_Dorchester-London_England.html
88,San Carlo Cicchetti- Covent Garden,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.389688889981997,2.0,"'Just the ticket', 'Special Italian restaurant', '', ''",/Restaurant_Review-g186338-d7158643-Reviews-San_Carlo_Cicchetti_Covent_Garden-London_England.html
89,Hache Camden,"['American', 'Vegetarian Friendly']",4.389429791661344,2.0,"'Tasty food and super friendly staff', 'London trip', '', ''",/Restaurant_Review-g186338-d796897-Reviews-Hache_Camden-London_England.html
90,Steak & Co,"['Barbecue', 'Steakhouse', 'British', 'Gluten Free Options']",4.386154132526765,2.0,"'Great food but very smokey', 'Lovely NYE dinner', '', ''",/Restaurant_Review-g186338-d8855999-Reviews-Steak_Co-London_England.html
91,Chez Bruce,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.386016304600043,3.0,"'Excellent lunch - food, service, ambiance...', 'Superb', '', ''",/Restaurant_Review-g186338-d718485-Reviews-Chez_Bruce-London_England.html
92,Gymkhana,"['Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.3840510684724565,3.0,"'Husband’s birthday lunch!', 'Exceptional', '', ''",/Restaurant_Review-g186338-d4981784-Reviews-Gymkhana-London_England.html
93,Amaya,"['Grill', 'Healthy', 'Indian', 'Asian', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.383836480690482,3.0,"'Amazing food but what is the story with th...', 'Best Modern Indian in London', '', ''",/Restaurant_Review-g186338-d948537-Reviews-Amaya-London_England.html
94,Flat Iron Denmark Street,"['Steakhouse', 'British', 'Gluten Free Options']",4.383764774814364,2.0,"'Excellent value steaks', 'Seat arrangement dissatisfaction', '', ''",/Restaurant_Review-g186338-d7268200-Reviews-Flat_Iron_Denmark_Street-London_England.html
95,Cote Brasserie - St Martin's Lane,"['French', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.382751516313369,2.0,"'Family pre matinee lunch', 'Never fails to impress.', '', ''",/Restaurant_Review-g186338-d2164836-Reviews-Cote_Brasserie_St_Martin_s_Lane-London_England.html
96,The Foyer At Claridge's,"['European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.382385343659756,3.0,"'Perfect', Xmas dinner at Claridge's wonderful exper..., '', ''",/Restaurant_Review-g186338-d1106756-Reviews-The_Foyer_At_Claridge_s-London_England.html
97,Island Grill & Bar,"['European', 'British', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",4.3813477852547384,2.0,"'Sunday Brunch', 'Excellent food and service!', '', ''",/Restaurant_Review-g186338-d1016437-Reviews-Island_Grill_Bar-London_England.html
